intersection_id,latitude,longitude,community,mean_volume,dtw_cluster,geocode_method,geocode_confidence,name_fa
1010,32.6559332,51.6435424,1,568.5738576556663,2,direct_name,medium,چهارراه جهاد
1016,32.7202773,51.7259451,1,544.293740981238,2,direct_name,medium,امام خميني امام رضا
1018,32.7123822,51.7019209,1,348.8625406339792,2,direct_name,medium,سه راه نقشينه
1029,32.6530108,51.6154328,1,547.27737113035,2,direct_name,medium,قدس - آتشگاه
1030,32.6755455,51.701516,4,580.8635304658462,2,direct_name,medium,نیکبخت
1031,32.6221004,51.6714924,4,600.8575782140165,1,direct_name,medium,شيخ صدوق سعادت آباد
1032,32.6219856,51.6749819,4,621.8539788800964,1,direct_name,medium,چهارراه فرايبورگ
1034,32.6328539,51.6937228,4,514.3692747278832,2,direct_name,medium,چهارراه آپادانا
1035,32.6362026,51.6934821,4,622.3505986720145,2,direct_name,medium,چهارراه آبشار
1036,32.6406172,51.6946526,4,775.9992928878514,2,direct_name,medium,ميدان بزرگمهر
1041,32.6710832,51.7045652,2,469.0458166987901,2,direct_name,medium,پروين دشتستان
1044,32.6673752,51.720348,3,483.62933187841526,2,direct_name,medium,ميدان قدس
1054,32.6518816,51.6984282,2,455.9974427474988,2,direct_name,medium,هشت بهشت گلزار
1058,32.6815152,51.7133641,2,375.10957181010696,2,direct_name,medium,پل سرهنگ
1059,32.6897322,51.7367544,1,331.0698672449953,2,direct_name,medium,پل تمدن
1066,32.6511569,51.7056877,2,538.3606905151962,2,direct_name,medium,حمزه هشت بهشت
1069,32.6612496,51.7015096,1,617.693389492841,2,direct_name,medium,ميدان احمد آباد
1071,32.6791357,51.672144,3,730.187525343655,2,direct_name,medium,میدان 25 آبان
1078,32.6661083,51.6513486,1,483.6065102615997,2,direct_name,medium,چهارراه وفايي
1079,32.6655226,51.6661591,1,476.5630671830931,2,direct_name,medium,طيب - مسجد سيد
1080,32.6224107,51.6582421,2,571.2226060965087,2,direct_name,medium,توحيد دانشگاه
1081,32.6226759,51.65210045,2,441.2898113013389,2,street_pair,high,سه راه حكيم نظامي (شهداي غزه)
1084,32.6239165,51.6367359,2,553.3468373690963,2,direct_name,medium,ميدان ارتش
1085,32.623709,51.6260091,3,477.3726394090666,2,direct_name,medium,سه راه سيمين
1092,32.6402841,51.6401994,2,731.4675177346555,2,direct_name,medium,پل وحيد
1095,32.6335808,51.6390257,2,519.605802481939,2,direct_name,medium,وحيد باغ درياچه
1112,32.6242325,51.6642796,4,601.4727505810524,2,direct_name,medium,هزار جریب آزادی
1113,32.5881295,51.6696844,2,609.2744933767298,2,direct_name,medium,دفاع مقدس
1117,32.6422261,51.6680444,3,436.10439048236026,2,direct_name,medium,هتل پل
1503,32.6570388,51.7396176,1,733.6954222638856,2,direct_name,medium,جي – شهيد رجائي
